jefe_hogar,genero,edad,estudiante,estado_civli,telefono_propio,smart_phone,desde_cuando_smart,mas_un_SIM,tipo_contrato,n_recarga_mensual,gasto_mensual_tel,empresa,porque_empresa,piensa_cambiarse,investigo_competencia,es_facil_cambiarse,paga_mas_esperado,nse,pobreza,empleo,ingreso_mensual,dist
1.0,2.0,52.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,6.0,7.0,2.0,4.0,3.0,1.0,729.1666666666666,10101
2.0,1.0,46.0,2.0,1.0,1.0,1.0,1.0,2.0,Prepago,3.0,10.0,1.0,23.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,897.5,10101
2.0,1.0,25.0,1.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,1.0,23.0,2.0,5.0,5.0,2.0,4.0,3.0,2.0,29.166666666666668,10101
2.0,2.0,22.0,1.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,29.9,4.0,22.0,1.0,7.0,6.0,1.0,4.0,3.0,2.0,29.166666666666668,10101
2.0,1.0,30.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,66.0,2.0,22.0,2.0,7.0,7.0,2.0,4.0,3.0,1.0,1229.1666666666667,10101
2.0,1.0,17.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,2.0,5.0,4.0,23.0,2.0,1.0,5.0,2.0,4.0,3.0,2.0,0.0,10101
2.0,2.0,74.0,2.0,3.0,1.0,2.0,2.0,2.0,Prepago,2.0,5.0,2.0,23.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,125.0,10101
1.0,2.0,35.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,2000.0,10101
2.0,1.0,15.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,10101
1.0,2.0,51.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,1.0,23.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,1550.0,10101
1.0,1.0,33.0,2.0,2.0,1.0,1.0,1.0,2.0,Prepago,4.0,30.0,2.0,23.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,2800.0,10101
2.0,2.0,29.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,42.0,1.0,22.0,1.0,6.0,6.0,2.0,4.0,3.0,1.0,1458.3333333333333,10101
1.0,1.0,42.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,21.0,2.0,6.0,3.0,2.0,2.0,3.0,1.0,3000.0,10101
2.0,2.0,40.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,1.0,22.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,0.0,10101
2.0,2.0,18.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,1.0,22.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,10101
1.0,1.0,65.0,2.0,5.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,3.0,24.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,1302.5,10101
1.0,1.0,58.0,1.0,5.0,1.0,1.0,1.0,2.0,Pospago,0.0,40.0,2.0,22.0,2.0,6.0,5.0,2.0,2.0,3.0,1.0,2800.0,10101
1.0,1.0,41.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,2.0,22.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,1302.5,10101
2.0,2.0,40.0,2.0,2.0,1.0,2.0,1.0,2.0,Pospago,0.0,30.0,2.0,22.0,2.0,3.0,5.0,2.0,4.0,3.0,1.0,1302.5,10101
1.0,2.0,49.0,2.0,5.0,1.0,1.0,1.0,2.0,Prepago,4.0,40.0,2.0,23.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,2905.0,10101
2.0,1.0,28.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,30.0,2.0,22.0,2.0,1.0,7.0,2.0,3.0,3.0,1.0,935.0,10101
